,Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status,Building Type,NumberOfEmployees,DandB Total Employees,X36 NPV List,AnnualRevenue,X36 NRR List,X36 MRC List,Longitude,Latitude,Industry,Estimated Build Cost,Net Classification,Vertical,Type,Total BRR
0,Opp-000001,Acct-000007,Closed - Lost,True,False,7/1/16,12.0,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,0.0,0.0,23757.066940298504,0.0,1073.7171641791042,1775.3453731343284,-84.391561,33.755431,,11993.5,On-Net,PTT,Telecommunications,1334080.0
1,Opp-000002,Acct-000986,5 - Accepted,True,True,7/1/16,60.0,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network,,0.0,0.0,59938.9,0.0,4610.0,3163.05,-84.0608807,34.035421299999996,,21243.7,On-Net,Manufacturing - Other,Energy & Manufacturing,2910.34
2,Opp-000002,Acct-000986,5 - Accepted,True,True,7/1/16,60.0,,New Service,Dark Fiber - Metro,Bldg-109003,Atlanta,305 Satellite Blvd NW,Suwanee,GA,30024,250.74,On Zayo Network,,0.0,0.0,59938.9,0.0,4610.0,3163.05,-84.0633047,34.036374200000004,,17522.2,Restricted,Manufacturing - Other,Energy & Manufacturing,2910.34
3,Opp-000003,Acct-000011,5 - Accepted,True,True,7/1/16,36.0,,New Service,Dark Fiber - Metro,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,116000.0,116000.0,23266.981627906975,198819158000.0,1126.0855813953488,1285.116976744186,-84.391561,33.755431,,11993.5,On-Net,Internet Content & Software,Media & Content,683378.0
4,Opp-000003,Acct-000011,5 - Accepted,True,True,7/1/16,36.0,,New Service,Dark Fiber - Metro,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,On Zayo Network,,116000.0,116000.0,23266.981627906975,198819158000.0,1126.0855813953488,1285.116976744186,-84.3530428,33.933876500000004,,14536.3,Fiber Only,Internet Content & Software,Media & Content,683378.0
5,Opp-000004,Acct-000143,1 - Working,False,False,7/1/16,-1.0,,New Service,Ethernet,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,On Zayo Network,,0.0,0.0,33413.167625899274,0.0,1395.266258992806,2821.6705755395683,-84.38855699999999,33.783427,,15572.8,On-Net,Consulting / Other Professional Services,Professional Services,0.0
6,Opp-000005,Acct-000143,1 - Working,False,False,7/1/16,-1.0,,New Service,Wavelengths - Long Haul,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,On Zayo Network,,0.0,0.0,33413.167625899274,0.0,1395.266258992806,2821.6705755395683,-84.38855699999999,33.783427,,15572.8,On-Net,Consulting / Other Professional Services,Professional Services,0.0
7,Opp-000006,Acct-000011,1 - Working,False,False,7/1/16,-1.0,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,116000.0,116000.0,23266.981627906975,198819158000.0,1126.0855813953488,1285.116976744186,-84.391561,33.755431,,11993.5,On-Net,Internet Content & Software,Media & Content,683378.0
8,Opp-000007,Acct-000011,3 - Committed,False,False,7/1/16,12.0,,New Service,Ethernet,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,On Zayo Network,,116000.0,116000.0,23266.981627906975,198819158000.0,1126.0855813953488,1285.116976744186,-84.3530428,33.933876500000004,,14536.3,Fiber Only,Internet Content & Software,Media & Content,683378.0
9,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,-1.0,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network,,0.0,0.0,61517.550588235295,0.0,1663.2156862745098,2811.42,-84.42146109999999,33.7775391,,22945.84,Fiber Only,,,0.0
10,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,-1.0,,New Service,Ethernet,Bldg-038242,Atlanta,5600 United Dr SE,Smyrna,GA,30082,426.83,On Zayo Network,,0.0,0.0,61517.550588235295,0.0,1663.2156862745098,2811.42,-84.522539,33.841315,,22804.9,Fiber Only,,,0.0
11,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,-1.0,,New Service,Ethernet,Bldg-109081,Atlanta,5909 N Peachtree Rd,Dunwoody,GA,30338,225.67,On Zayo Network,,0.0,0.0,61517.550588235295,0.0,1663.2156862745098,2811.42,-84.3503,33.916299,,16770.1,Fiber Only,,,0.0
12,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,-1.0,,New Service,Ethernet,Bldg-136838,Atlanta,1001 Summit Blvd NE,Atlanta,GA,30319,170.93,On Zayo Network,,0.0,0.0,61517.550588235295,0.0,1663.2156862745098,2811.42,-84.34098399999999,33.915657200000005,,15127.9,Restricted,,,0.0
13,Opp-000009,Acct-000950,Closed - Lost,True,False,7/1/16,-1.0,,New Service,IP Services,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,1.0,1.0,256935.16999999998,84276.33,4610.0,9590.73,-84.391561,33.755431,,11993.5,On-Net,Consulting / Other Professional Services,Professional Services,0.0
14,Opp-000009,Acct-000950,Closed - Lost,True,False,7/1/16,-1.0,,New Service,IP Services,Bldg-015168,Denver,1850 Pearl St,Denver,CO,80203,103.07,On Zayo Network,,1.0,1.0,256935.16999999998,84276.33,4610.0,9590.73,-104.97949960000001,39.745886,,17038.15,On-Net,Consulting / Other Professional Services,Professional Services,0.0
15,Opp-000009,Acct-000950,Closed - Lost,True,False,7/1/16,-1.0,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,1.0,1.0,256935.16999999998,84276.33,4610.0,9590.73,-96.79411800000001,32.787255,,15880.2,Fiber Only,Consulting / Other Professional Services,Professional Services,0.0
16,Opp-000010,Acct-000427,4 - Closed,True,True,7/1/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,16379.028,0.0,2351.832,5066.9619999999995,-96.819612,32.800805,,26388.0,On-Net,Federal Government,Government,0.0
17,Opp-000011,Acct-000427,1 - Working,False,False,7/1/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,16379.028,0.0,2351.832,5066.9619999999995,-96.819612,32.800805,,26388.0,On-Net,Federal Government,Government,0.0
18,Opp-000012,Acct-000034,1 - Working,False,False,7/2/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,22169.201952,0.0,1248.8204,1900.7950399999997,-96.819612,32.800805,,26388.0,On-Net,National Carrier/ISP,Telecommunications,1541759.0
19,Opp-000012,Acct-000034,1 - Working,False,False,7/2/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network,,0.0,0.0,22169.201952,0.0,1248.8204,1900.7950399999997,-104.876543,39.587387299999996,,17332.0,Fiber Only,National Carrier/ISP,Telecommunications,1541759.0
20,Opp-000012,Acct-000034,1 - Working,False,False,7/2/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-140646,Denver,106 Inverness Circle E,Englewood,CO,80112,704.51,Not on Zayo Network,,0.0,0.0,22169.201952,0.0,1248.8204,1900.7950399999997,-104.8631422,39.5770328,,33535.3,Fiber Only,National Carrier/ISP,Telecommunications,1541759.0
21,Opp-000013,Acct-000469,Closed - Lost,True,False,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,48.0,30771.624,0.0,2443.3,1777.7379999999998,-96.819612,32.800805,,26388.0,On-Net,Internet Content & Software,Media & Content,162707.0
22,Opp-000013,Acct-000469,Closed - Lost,True,False,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,On Zayo Network,,0.0,48.0,30771.624,0.0,2443.3,1777.7379999999998,-96.6764626,33.0093307,,24124.8,Fiber Only,Internet Content & Software,Media & Content,162707.0
23,Opp-000014,Acct-000469,5 - Accepted,True,True,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,0.0,48.0,30771.624,0.0,2443.3,1777.7379999999998,-96.79411800000001,32.787255,,15880.2,Fiber Only,Internet Content & Software,Media & Content,162707.0
24,Opp-000014,Acct-000469,5 - Accepted,True,True,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,On Zayo Network,,0.0,48.0,30771.624,0.0,2443.3,1777.7379999999998,-96.6764626,33.0093307,,24124.8,Fiber Only,Internet Content & Software,Media & Content,162707.0
25,Opp-000015,Acct-000427,3 - Committed,False,False,7/1/16,60.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,16379.028,0.0,2351.832,5066.9619999999995,-96.819612,32.800805,,26388.0,On-Net,Federal Government,Government,0.0
26,Opp-000016,Acct-000435,Closed - Lost,True,False,7/2/16,36.0,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,1100.0,1100.0,21187.39833333333,328820055.29,1075.6666666666667,1911.8797222222222,-84.391561,33.755431,,11993.5,On-Net,Regional Carrier/ISP,Telecommunications,420878.0
27,Opp-000017,Acct-000938,Closed - Lost,True,False,7/2/16,36.0,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,On Zayo Network,,4800.0,4800.0,54082.6175,343640307.26,2766.0,4080.375,-96.73684300000001,33.005724,,28436.5,On-Net,Real Estate / Construction,Other Industry,35736.0
28,Opp-000017,Acct-000938,Closed - Lost,True,False,7/2/16,36.0,,New Service,Wavelengths - Metro,Bldg-118244,Dallas,8 Campus Cir,Roanoke,TX,76262,479.98,On Zayo Network,,4800.0,4800.0,54082.6175,343640307.26,2766.0,4080.375,-97.17446,32.98064,,40798.8,On-Net,Real Estate / Construction,Other Industry,35736.0
29,Opp-000018,Acct-000938,5 - Accepted,True,True,7/2/16,60.0,,New Service,Wavelengths - Long Haul,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,On Zayo Network,,4800.0,4800.0,54082.6175,343640307.26,2766.0,4080.375,-96.9852418,32.926302500000006,,28130.4,Fiber Only,Real Estate / Construction,Other Industry,35736.0
30,Opp-000019,Acct-000938,5 - Accepted,True,True,7/2/16,60.0,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,On Zayo Network,,4800.0,4800.0,54082.6175,343640307.26,2766.0,4080.375,-96.73684300000001,33.005724,,28436.5,On-Net,Real Estate / Construction,Other Industry,35736.0
31,Opp-000019,Acct-000938,5 - Accepted,True,True,7/2/16,60.0,,New Service,Wavelengths - Metro,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,On Zayo Network,,4800.0,4800.0,54082.6175,343640307.26,2766.0,4080.375,-96.9852418,32.926302500000006,,28130.4,Fiber Only,Real Estate / Construction,Other Industry,35736.0
32,Opp-000020,Acct-000056,Closed - Lost,True,False,7/5/16,12.0,,New Service,Wavelengths - Metro,Bldg-117680,Dallas,3000 Telecom Pkwy,Richardson,TX,75082,4830.93,On Zayo Network,,242000.0,213000.0,6702.486666666667,87756882000.0,2766.0,8538.214166666667,-96.651985,32.99042,,132773.25,Fiber Only,Finance - Other,Finance,539570.0
33,Opp-000020,Acct-000056,Closed - Lost,True,False,7/5/16,12.0,,New Service,Wavelengths - Metro,Bldg-117872,Dallas,4500 Amon Carter Blvd,Fort Worth,TX,76155,85.33,On Zayo Network,,242000.0,213000.0,6702.486666666667,87756882000.0,2766.0,8538.214166666667,-97.04868,32.830009999999994,,17119.8,Fiber Only,Finance - Other,Finance,539570.0
34,Opp-000021,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network,,0.0,0.0,53023.202217194565,0.0,13306.329570135746,2934.3505882352943,-104.86654820000001,39.5643596,,16752.85,On-Net,National Carrier/ISP,Telecommunications,22141.48
35,Opp-000022,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,53023.202217194565,0.0,13306.329570135746,2934.3505882352943,-96.819612,32.800805,,26388.0,On-Net,National Carrier/ISP,Telecommunications,22141.48
36,Opp-000022,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network,,0.0,0.0,53023.202217194565,0.0,13306.329570135746,2934.3505882352943,-104.86654820000001,39.5643596,,16752.85,On-Net,National Carrier/ISP,Telecommunications,22141.48
37,Opp-000023,Acct-001119,1 - Working,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-111386,Denver,3431 N Windsor Dr,Aurora,CO,80011,779.17,On Zayo Network,,0.0,0.0,0.0,0.0,0.0,0.0,-104.762111,39.762776,,35775.1,Fiber Only,Telecommunications Equipment Provider,Other Industry,1840.0
38,Opp-000024,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,53023.202217194565,0.0,13306.329570135746,2934.3505882352943,-96.819612,32.800805,,26388.0,On-Net,National Carrier/ISP,Telecommunications,22141.48
39,Opp-000025,Acct-001120,5 - Accepted,True,True,7/6/16,36.0,,New Service,IP Services,Bldg-464044,Dallas,1430 E Southlake Blvd,Southlake,TX,76092,-1.0,Build in Progress,,0.0,0.0,0.0,0.0,0.0,0.0,-97.130087,32.941359999999996,,12000.0,Fiber Only,Retail,Other Industry,9233.4
40,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,31342.345,0.0,2766.0,1606.585,-96.819612,32.800805,,26388.0,On-Net,Wireless,Telecommunications,0.0
41,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-032157,Dallas,1500 E Plano Pkwy,Plano,TX,75074,251.92,Not on Zayo Network,,0.0,0.0,31342.345,0.0,2766.0,1606.585,-96.69174559999999,33.0064731,,27115.2,Type 2,Wireless,Telecommunications,0.0
42,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network,,0.0,0.0,31342.345,0.0,2766.0,1606.585,-96.930441,32.992076000000004,,27768.5,Fiber Only,Wireless,Telecommunications,0.0
43,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network,,0.0,0.0,31342.345,0.0,2766.0,1606.585,-96.9829687,32.8970767,,32281.8,Fiber Only,Wireless,Telecommunications,0.0
44,Opp-000027,Acct-000116,1 - Working,False,False,7/6/16,-1.0,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network,,19200.0,19200.0,14420.113611111112,5141072000.0,1800.4611111111108,4149.871944444444,-104.876543,39.587387299999996,,17332.0,Fiber Only,RLEC,Telecommunications,646154.0
45,Opp-000028,Acct-000036,Closed - Lost,True,False,7/6/16,-1.0,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,34518.0,34518.0,37695.075,9277969886.09,2766.0,2025.41,-84.391561,33.755431,,11993.5,On-Net,Wireless,Telecommunications,5105015.0
46,Opp-000029,Acct-000141,1 - Working,False,False,7/6/16,-1.0,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,3686.0,3686.0,14052.2025,927052560.0,1267.75,2411.1825,-96.819612,32.800805,,26388.0,On-Net,Cloud Service Provider,IT Infrastructure,149155.0
47,Opp-000029,Acct-000141,1 - Working,False,False,7/6/16,-1.0,,New Service,IP Services,Bldg-054666,Atlanta,1201 W Peachtree St NE,Atlanta,GA,30309,159.56,On Zayo Network,,3686.0,3686.0,14052.2025,927052560.0,1267.75,2411.1825,-84.38296899999999,33.787690000000005,,14786.8,On-Net,Cloud Service Provider,IT Infrastructure,149155.0
48,Opp-000029,Acct-000141,1 - Working,False,False,7/6/16,-1.0,,New Service,IP Services,Bldg-120365,Dallas,6900 Dallas Pkwy,Plano,TX,75024,114.78,On Zayo Network,,3686.0,3686.0,14052.2025,927052560.0,1267.75,2411.1825,-96.82369,33.07242,,18886.8,Fiber Only,Cloud Service Provider,IT Infrastructure,149155.0
49,Opp-000030,Acct-000038,1 - Working,False,False,7/6/16,5.0,,New Service,Dark Fiber - Metro,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network,,61814.0,61814.0,13079.0365625,69139858000.0,1555.875,1186.4590625,-104.8470746,39.591309100000004,,23416.45,Fiber Only,Internet Content & Software,Media & Content,1183550.0
50,Opp-000031,Acct-000448,5 - Accepted,True,True,7/6/16,93.0,,New Service,Dark Fiber - Metro,Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,On Zayo Network,,45.0,45.0,32857.278000000006,5453032.54,2083.72,1639.702,-104.989305,39.745216,,16805.05,Fiber Only,Regional Carrier/ISP,Telecommunications,21182.0
51,Opp-000032,Acct-001020,Closed - Lost,True,False,7/6/16,12.0,,New Service,Wavelengths - Long Haul,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network,,29000.0,0.0,70015.57,0.0,922.0,2934.96,-84.581427,33.744265000000006,,18223.6,On-Net,Health Insurance,Healthcare,26252.13
52,Opp-000033,Acct-000409,Closed - Lost,True,False,7/6/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,49388.884000000005,0.0,1659.6,1811.0279999999998,-96.819612,32.800805,,26388.0,On-Net,Legal,Professional Services,5166.0
53,Opp-000034,Acct-000382,1 - Working,False,False,7/6/16,12.0,,New Service,IP Services,Bldg-014141,Denver,4300 Brighton Blvd,Denver,CO,80216,247.0,On Zayo Network,,0.0,0.0,29767.940000000002,0.0,1536.6666666666667,5859.543333333334,-104.968254,39.777368,,23515.0,Fiber Only,AdTech,Media & Content,3784.38
54,Opp-000035,Acct-000604,5 - Accepted,True,True,7/6/16,12.0,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network,,16.0,17.0,31254.052499999998,3894067.92,1844.0,1297.81,-84.42146109999999,33.7775391,,22945.84,Fiber Only,Finance - Other,Finance,26159.0
55,Opp-000035,Acct-000604,5 - Accepted,True,True,7/6/16,12.0,,New Service,Ethernet,Bldg-019879,Atlanta,2836 Peterson Pl NW,Norcross,GA,30071,2357.82,Not on Zayo Network,,16.0,17.0,31254.052499999998,3894067.92,1844.0,1297.81,-84.2267439,33.9381625,,66587.68,Type 2,Finance - Other,Finance,26159.0
56,Opp-000036,Acct-000035,1 - Working,False,False,7/6/16,36.0,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,,0.0,0.0,30888.800999999996,0.0,915.9997,1540.1597,-104.995682,39.74556,,16742.05,On-Net,National Carrier/ISP,Telecommunications,1700.0
57,Opp-000037,Acct-000949,5 - Accepted,True,True,7/6/16,36.0,,New Service,IP Services,Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network,,74042.0,73700.0,55467.46,43464924000.0,922.0,2369.91,-96.81099300000001,33.064858,,25377.25,Fiber Only,Cloud Service Provider,IT Infrastructure,227329.0
58,Opp-000038,Acct-000579,5 - Accepted,True,True,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network,,0.0,0.0,43084.24727272727,0.0,2506.163636363636,2916.9163636363637,-104.9792774,39.74519179999999,,16004.5,On-Net,National Carrier/ISP,Telecommunications,1123818.23
59,Opp-000039,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-070187,Atlanta,760 Doug Davis Dr,Atlanta,GA,30354,153.79,On Zayo Network,,0.0,0.0,41080.296111111114,0.0,1767.1666666666667,2633.300277777778,-84.415204,33.657159,,14613.7,Fiber Only,,,0.0
60,Opp-000039,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-434046,Atlanta,5295 Brook Hollow Pkwy,Norcross,GA,30071,122.02,Not on Zayo Network,,0.0,0.0,41080.296111111114,0.0,1767.1666666666667,2633.300277777778,-84.1849962,33.9274748,,13660.6,Fiber Only,,,0.0
61,Opp-000040,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-070187,Atlanta,760 Doug Davis Dr,Atlanta,GA,30354,153.79,On Zayo Network,,0.0,0.0,41080.296111111114,0.0,1767.1666666666667,2633.300277777778,-84.415204,33.657159,,14613.7,Fiber Only,,,0.0
62,Opp-000040,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-091976,Atlanta,40 Perimeter Ctr E,Atlanta,GA,30346,3168.87,Not on Zayo Network,,0.0,0.0,41080.296111111114,0.0,1767.1666666666667,2633.300277777778,-84.32682690000001,33.9260138,,86052.88,Fiber Only,,,0.0
63,Opp-000041,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-038169,Atlanta,3001 Cobb Pkwy SE,Atlanta,GA,30339,239.83,On Zayo Network,,0.0,0.0,41080.296111111114,0.0,1767.1666666666667,2633.300277777778,-84.45719799999999,33.880008000000004,,17194.9,Fiber Only,,,0.0
64,Opp-000041,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-434046,Atlanta,5295 Brook Hollow Pkwy,Norcross,GA,30071,122.02,Not on Zayo Network,,0.0,0.0,41080.296111111114,0.0,1767.1666666666667,2633.300277777778,-84.1849962,33.9274748,,13660.6,Fiber Only,,,0.0
65,Opp-000042,Acct-000324,Closed - Lost,True,False,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014640,Dallas,3180 Irving Blvd,Dallas,TX,75247,297.58,On Zayo Network,,111.0,111.0,17273.89,12078200.0,461.0,1413.885,-96.868566,32.807183,,29854.8,Restricted,Regional Carrier/ISP,Telecommunications,28480.0
66,Opp-000043,Acct-000324,Closed - Lost,True,False,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,111.0,111.0,17273.89,12078200.0,461.0,1413.885,-96.819612,32.800805,,26388.0,On-Net,Regional Carrier/ISP,Telecommunications,28480.0
67,Opp-000044,Acct-001020,1 - Working,False,False,7/7/16,12.0,,New Service,IP Services,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network,,29000.0,0.0,70015.57,0.0,922.0,2934.96,-84.581427,33.744265000000006,,18223.6,On-Net,Health Insurance,Healthcare,26252.13
68,Opp-000045,Acct-000002,Closed - Lost,True,False,7/7/16,12.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,43350.0,43350.0,19287.699023746703,25378360491.8,1353.7565963060686,2117.4700527704485,-96.819612,32.800805,,26388.0,On-Net,National Carrier/ISP,Telecommunications,3344939.0
69,Opp-000046,Acct-000002,Closed - Lost,True,False,7/7/16,12.0,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,43350.0,43350.0,19287.699023746703,25378360491.8,1353.7565963060686,2117.4700527704485,-96.819612,32.800805,,26388.0,On-Net,National Carrier/ISP,Telecommunications,3344939.0
70,Opp-000046,Acct-000002,Closed - Lost,True,False,7/7/16,12.0,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,43350.0,43350.0,19287.699023746703,25378360491.8,1353.7565963060686,2117.4700527704485,-96.79411800000001,32.787255,,15880.2,Fiber Only,National Carrier/ISP,Telecommunications,3344939.0
71,Opp-000047,Acct-001121,5 - Accepted,True,True,7/7/16,12.0,,New Service,IP Services,Bldg-070477,Atlanta,3414 Peachtree Rd NE,Atlanta,GA,30326,181.78,On Zayo Network,,0.0,0.0,0.0,0.0,0.0,0.0,-84.363949,33.849889000000005,,15453.4,Fiber Only,Consulting / Other Professional Services,Professional Services,975.34
72,Opp-000048,Acct-000948,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,0.0,0.0,122523.43749999999,0.0,3688.0,4917.785,-96.819612,32.800805,,26388.0,On-Net,Oil & Gas,Energy,0.0
73,Opp-000049,Acct-000545,2 - Best Case,False,False,7/7/16,36.0,,New Service,Ethernet,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network,,25.0,25.0,14518.69076923077,1659600.0,826.2538461538461,1855.3984615384616,-96.79855,32.778334,,16808.4,Fiber Only,National Carrier/ISP,Telecommunications,3389.0
74,Opp-000050,Acct-000341,Closed - Lost,True,False,7/7/16,36.0,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,0.0,0.0,17133.201666666668,0.0,1075.6666666666667,795.2883333333333,-96.79411800000001,32.787255,,15880.2,Fiber Only,Reseller,Telecommunications,186314.71
75,Opp-000051,Acct-000579,5 - Accepted,True,True,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network,,0.0,0.0,43084.24727272727,0.0,2506.163636363636,2916.9163636363637,-104.9792774,39.74519179999999,,16004.5,On-Net,National Carrier/ISP,Telecommunications,1123818.23
76,Opp-000052,Acct-000341,5 - Accepted,True,True,7/7/16,36.0,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,0.0,0.0,17133.201666666668,0.0,1075.6666666666667,795.2883333333333,-96.79411800000001,32.787255,,15880.2,Fiber Only,Reseller,Telecommunications,186314.71
